Column 3,Número,Subtotal
#FelizDiaDelPadre,12880,335803.0
,16772,335803.0
,19651,335803.0
,22327,335803.0
,25145,335803.0
,27479,335803.0
,36753,335803.0
,36772,335803.0
,36788,335803.0
,34667,335803.0
,34735,335803.0
,31834,335803.0
Feliz Pascua,15501,138910.0
,12834,138910.0
,14397,138910.0
,34307,138910.0
,32234,138910.0
,29637,138910.0
#FelizDiaDelTrabajador,11253,180599.0
,29795,180599.0
,34002,180599.0
,105549,180599.0
#FelizDiaDeLaMadre,11761,683633.0
,17505,683633.0
,22575,683633.0
,27409,683633.0
,48762,683633.0
,50478,683633.0
,50833,683633.0
,51011,683633.0
,51122,683633.0
,51257,683633.0
,51349,683633.0
,33385,683633.0
,25655,683633.0
,34461,683633.0
,16571,683633.0
,10359,683633.0
,39205,683633.0
,24925,683633.0
,30098,683633.0
,34912,683633.0
#FelizAlzamiento,11600,240063.0
,13491,240063.0
,15046,240063.0
,16317,240063.0
,17297,240063.0
,18101,240063.0
,18909,240063.0
,19254,240063.0
,18840,240063.0
,18797,240063.0
,18787,240063.0
,18776,240063.0
,18046,240063.0
,16802,240063.0
Feliz Halloween,10106,315544.0
,10723,315544.0
,32456,315544.0
,34453,315544.0
,36924,315544.0
,40379,315544.0
,44352,315544.0
,49768,315544.0
,56383,315544.0
FelizNavidad,10724,3.3145172E7
,11317,3.3145172E7
,11889,3.3145172E7
,12411,3.3145172E7
,11194,3.3145172E7
,13075,3.3145172E7
,14535,3.3145172E7
,15144,3.3145172E7
,15547,3.3145172E7
,15808,3.3145172E7
,16340,3.3145172E7
,18034,3.3145172E7
,20372,3.3145172E7
,22685,3.3145172E7
,24805,3.3145172E7
,22026,3.3145172E7
,23450,3.3145172E7
,23984,3.3145172E7
,24656,3.3145172E7
,25240,3.3145172E7
,25767,3.3145172E7
,26429,3.3145172E7
,29345,3.3145172E7
,29259,3.3145172E7
,29207,3.3145172E7
,52009,3.3145172E7
,52321,3.3145172E7
,58275,3.3145172E7
,61590,3.3145172E7
,64386,3.3145172E7
,80675,3.3145172E7
,81340,3.3145172E7
,81879,3.3145172E7
,82483,3.3145172E7
,83159,3.3145172E7
,78314,3.3145172E7
,81106,3.3145172E7
,81177,3.3145172E7
,81565,3.3145172E7
,82265,3.3145172E7
,83489,3.3145172E7
,85564,3.3145172E7
,88660,3.3145172E7
,92595,3.3145172E7
,96842,3.3145172E7
,102549,3.3145172E7
,110347,3.3145172E7
,117362,3.3145172E7
,124591,3.3145172E7
,132603,3.3145172E7
,141412,3.3145172E7
,151092,3.3145172E7
,161916,3.3145172E7
,173310,3.3145172E7
,221659,3.3145172E7
,229484,3.3145172E7
,236376,3.3145172E7
,245290,3.3145172E7
,258309,3.3145172E7
,275925,3.3145172E7
,297559,3.3145172E7
,330151,3.3145172E7
,368879,3.3145172E7
,416416,3.3145172E7
,478303,3.3145172E7
,540659,3.3145172E7
,602133,3.3145172E7
,668652,3.3145172E7
,740462,3.3145172E7
,806714,3.3145172E7
,806714,3.3145172E7
,864698,3.3145172E7
,864698,3.3145172E7
,930481,3.3145172E7
,930481,3.3145172E7
,930481,3.3145172E7
,1010417,3.3145172E7
,1010417,3.3145172E7
,1093100,3.3145172E7
,1171761,3.3145172E7
,1171761,3.3145172E7
,1248203,3.3145172E7
,1248203,3.3145172E7
,1284277,3.3145172E7
,989370,3.3145172E7
,989370,3.3145172E7
,1088077,3.3145172E7
,1509474,3.3145172E7
,1830169,3.3145172E7
,1849536,3.3145172E7
,38937,3.3145172E7
,154000,3.3145172E7
,39375,3.3145172E7
,39069,3.3145172E7
,38805,3.3145172E7
,38208,3.3145172E7
FelizAño,58934,6360352.0
,58332,6360352.0
,13584,6360352.0
,13824,6360352.0
,72798,6360352.0
,73493,6360352.0
,17318,6360352.0
,17822,6360352.0
,18467,6360352.0
,19113,6360352.0
,20065,6360352.0
,21111,6360352.0
,109906,6360352.0
,150341,6360352.0
,33425,6360352.0
,34831,6360352.0
,166429,6360352.0
,174263,6360352.0
,186117,6360352.0
,47709,6360352.0
,55192,6360352.0
,261482,6360352.0
,304824,6360352.0
,354322,6360352.0
,446397,6360352.0
,534844,6360352.0
,607288,6360352.0
,678072,6360352.0
,757236,6360352.0
,1038303,6360352.0
,14510,6360352.0
