Column 3,Número
#FelizDiaDelPadre,12880
,16772
,19651
,22327
,25145
,27479
,36753
,36772
,36788
,34667
,34735
,31834
Feliz Pascua,15501
,12834
,14397
,34307
,32234
,29637
#FelizDiaDelTrabajador,11253
,29795
,34002
,105549
#FelizDiaDeLaMadre,11761
,17505
,22575
,27409
,48762
,50478
,50833
,51011
,51122
,51257
,51349
,33385
,25655
,34461
,16571
,10359
,39205
,24925
,30098
,34912
#FelizAlzamiento,11600
,13491
,15046
,16317
,17297
,18101
,18909
,19254
,18840
,18797
,18787
,18776
,18046
,16802
Feliz Halloween,10106
,10723
,32456
,34453
,36924
,40379
,44352
,49768
,56383
FelizNavidad,10724
,11317
,11889
,12411
,11194
,13075
,14535
,15144
,15547
,15808
,16340
,18034
,20372
,22685
,24805
,22026
,23450
,23984
,24656
,25240
,25767
,26429
,29345
,29259
,29207
,52009
,52321
,58275
,61590
,64386
,80675
,81340
,81879
,82483
,83159
,78314
,81106
,81177
,81565
,82265
,83489
,85564
,88660
,92595
,96842
,102549
,110347
,117362
,124591
,132603
,141412
,151092
,161916
,173310
,221659
,229484
,236376
,245290
,258309
,275925
,297559
,330151
,368879
,416416
,478303
,540659
,602133
,668652
,740462
,806714
,806714
,864698
,864698
,930481
,930481
,930481
,1010417
,1010417
,1093100
,1171761
,1171761
,1248203
,1248203
,1284277
,989370
,989370
,1088077
,1509474
,1830169
,1849536
,38937
,154000
,39375
,39069
,38805
,38208
FelizAño,58934
,58332
,13584
,13824
,72798
,73493
,17318
,17822
,18467
,19113
,20065
,21111
,109906
,150341
,33425
,34831
,166429
,174263
,186117
,47709
,55192
,261482
,304824
,354322
,446397
,534844
,607288
,678072
,757236
,1038303
,14510
